Liked;hilangkan_kapital;Review_clean_V2
0;the ripped banana was not only ripped but petrified and tasteless;ripped banana ripped petrified tasteless
0;at least think to refill my water before i struggle to wave you over for minutes;least think refill water struggle wave minutes
1;this place receives stars for their appetizers;place receives stars appetizers
1;the cocktails are all handmade and delicious;cocktails handmade delicious
1;we d definitely go back here again;definitely go back
1;we are so glad we found this place;glad found place
1;great food and service huge portions and they give a military discount;great food service huge portions give military discount
1;always a great time at dos gringos;always great time dos gringos
1;update went back for a second time and it was still just as amazing;update went back second time still amazing
0;we got the food and apparently they have never heard of salt and the batter on the fish was chewy;got food apparently never heard salt batter fish chewy
1;a great way to finish a great;great way finish great
1;the deal included tastings and drinks and jeff went above and beyond what we expected;deal included tastings drinks jeff went beyond expected
1;really really good rice all the time;really really good rice time
0;the service was meh;service meh
0;it took over min to get their milkshake which was nothing more than chocolate milk;took min get milkshake nothing chocolate milk
0;i guess i should have known that this place would suck because it is inside of the excalibur but i didn t use my common sense;guess known place would suck inside excalibur use common sense
0;the scallop dish is quite appalling for value as well;scallop dish quite appalling value well
0;times very bad customer service;times bad customer service
1;the sweet potato fries were very good and seasoned well;sweet potato fries good seasoned well
1;today is the second time i ve been to their lunch buffet and it was pretty good;today second time lunch buffet pretty good
0;there is so much good food in vegas that i feel cheated for wasting an eating opportunity by going to rice and company;much good food vegas feel cheated wasting eating opportunity going rice company
0;coming here is like experiencing an underwhelming relationship where both parties can t wait for the other person to ask to break up;coming like experiencing underwhelming relationship parties wait person ask break
0;walked in and the place smelled like an old grease trap and only others there eating;walked place smelled like old grease trap others eating
0;the turkey and roast beef were bland;turkey roast beef bland
1;this place has it;place
0;the pan cakes everyone are raving about taste like a sugary disaster tailored to the palate of a six year old;pan cakes everyone raving taste like sugary disaster tailored palate six year old
1;i love the pho and the spring rolls oh so yummy you have to try;love pho spring rolls oh yummy try
0;the poor batter to meat ratio made the chicken tenders very unsatisfying;poor batter meat ratio made chicken tenders unsatisfying
1;all i have to say is the food was amazing;say food amazing
1;omelets are to die for;omelets die
1;everything was fresh and delicious;everything fresh delicious
0;in summary this was a largely disappointing dining experience;summary largely disappointing dining experience
1;it s like a really sexy party in your mouth where you re outrageously flirting with the hottest person at the party;like really sexy party mouth outrageously flirting hottest person party
0;never been to hard rock casino before will never ever step forward in it again;never hard rock casino never ever step forward
1;best breakfast buffet;best breakfast buffet
0;say bye bye to your tip lady;say bye bye tip lady
0;we ll never go again;never go
1;will be back again;back
1;food arrived quickly;food arrived quickly
0;it was not good;good
1;on the up side their cafe serves really good food;side cafe serves really good food
1;our server was fantastic and when he found out the wife loves roasted garlic and bone marrow he added extra to our meal and another marrow to go;server fantastic found wife loves roasted garlic bone marrow added extra meal another marrow go
1;the only good thing was our waiter he was very helpful and kept the bloddy mary s coming;good thing waiter helpful kept bloddy mary coming
1;best buffet in town for the price you cannot beat it;best buffet town price beat
1;i loved their mussels cooked in this wine reduction the duck was tender and their potato dishes were delicious;loved mussels cooked wine reduction duck tender potato dishes delicious
1;this is one of the better buffets that i have been to;one better buffets
1;so we went to tigerlilly and had a fantastic afternoon;went tigerlilly fantastic afternoon
1;the food was delicious our bartender was attentive and personable and we got a great deal;food delicious bartender attentive personable got great deal
1;the ambience is wonderful and there is music playing;ambience wonderful music playing
1;will go back next trip out;go back next trip
1;sooooo good;sooooo good
0;real sushi lovers let s be honest yama is not that good;real sushi lovers let honest yama good
0;at least min passed in between us ordering and the food arriving and it wasn t that busy;least min passed us ordering food arriving busy
1;this is a really fantastic thai restaurant which is definitely worth a visit;really fantastic thai restaurant definitely worth visit
1;nice spicy and tender;nice spicy tender
1;good prices;good prices
1;check it out;check
0;it was pretty gross;pretty gross
0;i ve had better atmosphere;better atmosphere
0;kind of hard to mess up a steak but they did;kind hard mess steak
0;although i very much liked the look and sound of this place the actual experience was a bit disappointing;although much liked look sound place actual experience bit disappointing
0;i just don t know how this place managed to served the blandest food i have ever eaten when they are preparing indian cuisine;know place managed served blandest food ever eaten preparing indian cuisine
0;worst service to boot but that is the least of their worries;worst service boot least worries
1;service was fine and the waitress was friendly;service fine waitress friendly
1;the guys all had steaks and our steak loving son who has had steak at the best and worst places said it was the best steak he s ever eaten;guys steaks steak loving son steak best worst places said best steak ever eaten
1;we thought you d have to venture further away to get good sushi but this place really hit the spot that night;thought venture away get good sushi place really hit spot night
0;host staff were for lack of a better word bitches;host staff lack better word bitches
0;bland not a liking this place for a number of reasons and i don t want to waste time on bad reviewing i ll leave it at that;bland liking place number reasons want waste time bad reviewing leave
1;phenomenal food service and ambiance;phenomenal food service ambiance
0;i wouldn t return;return
1;definitely worth venturing off the strip for the pork belly will return next time i m in vegas;definitely worth venturing strip pork belly return next time vegas
0;this place is way too overpriced for mediocre food;place way overpriced mediocre food
1;penne vodka excellent;penne vodka excellent
1;they have a good selection of food including a massive meatloaf sandwich a crispy chicken wrap a delish tuna melt and some tasty burgers;good selection food including massive meatloaf sandwich crispy chicken wrap delish tuna melt tasty burgers
0;the management is rude;management rude
1;delicious nyc bagels good selections of cream cheese real lox with capers even;delicious nyc bagels good selections cream cheese real lox capers even
1;great subway in fact it s so good when you come here every other subway will not meet your expectations;great subway fact good come every subway meet expectations
1;i had a seriously solid breakfast here;seriously solid breakfast
1;this is one of the best bars with food in vegas;one best bars food vegas
0;he was extremely rude and really there are so many other restaurants i would love to dine at during a weekend in vegas;extremely rude really many restaurants would love dine weekend vegas
1;my drink was never empty and he made some really great menu suggestions;drink never empty made really great menu suggestions
0;don t do it;
0;the waiter wasn t helpful or friendly and rarely checked on us;waiter helpful friendly rarely checked us
0;my husband and i ate lunch here and were very disappointed with the food and service;husband ate lunch disappointed food service
0;and the red curry had so much bamboo shoots and wasn t very tasty to me;red curry much bamboo shoots tasty
1;nice blanket of moz over top but i feel like this was done to cover up the subpar food;nice blanket moz top feel like done cover subpar food
1;the bathrooms are clean and the place itself is well decorated;bathrooms clean place well decorated
0;the menu is always changing food quality is going down service is extremely slow;menu always changing food quality going service extremely slow
0;the service was a little slow considering that were served by people servers so the food was coming in a slow pace;service little slow considering served people servers food coming slow pace
0;i give it thumbs down;give thumbs
0;we watched our waiter pay a lot more attention to other tables and ignore us;watched waiter pay lot attention tables ignore us
1;my fianc and i came in the middle of the day and we were greeted and seated right away;fianc came middle day greeted seated right away
1;this is a great restaurant at the mandalay bay;great restaurant mandalay bay
0;we waited for forty five minutes in vain;waited forty five minutes vain
0;crostini that came with the salad was stale;crostini came salad stale
1;some highlights great quality nigiri here;highlights great quality nigiri
1;the staff is friendly and the joint is always clean;staff friendly joint always clean
1;this was a different cut than the piece the other day but still wonderful and tender s well as well flavored;different cut piece day still wonderful tender well well flavored
1;i ordered the voodoo pasta and it was the first time i d had really excellent pasta since going gluten free several years ago;ordered voodoo pasta first time really excellent pasta since going gluten free several years ago
1;this place is good;place good
0;unfortunately we must have hit the bakery on leftover day because everything we ordered was stale;unfortunately must hit bakery leftover day everything ordered stale
0;i came back today since they relocated and still not impressed;came back today since relocated still impressed
1;i was seated immediately;seated immediately
1;their menu is diverse and reasonably priced;menu diverse reasonably priced
0;avoid at all cost;avoid cost
1;restaurant is always full but never a wait;restaurant always full never wait
1;delicious;delicious
1;this place is hands down one of the best places to eat in the phoenix metro area;place hands one best places eat phoenix metro area
0;so don t go there if you are looking for good food;go looking good food
0;i ve never been treated so bad;never treated bad
1;bacon is hella salty;bacon hella salty
0;we also ordered the spinach and avocado salad the ingredients were sad and the dressing literally had zero taste;also ordered spinach avocado salad ingredients sad dressing literally zero taste
1;this really is how vegas fine dining used to be right down to the menus handed to the ladies that have no prices listed;really vegas fine dining used right menus handed ladies prices listed
1;the waitresses are very friendly;waitresses friendly
1;lordy the khao soi is a dish that is not to be missed for curry lovers;lordy khao soi dish missed curry lovers
1;everything on the menu is terrific and we were also thrilled that they made amazing accommodations for our vegetarian daughter;everything menu terrific also thrilled made amazing accommodations vegetarian daughter
0;perhaps i caught them on an off night judging by the other reviews but i m not inspired to go back;perhaps caught night judging reviews inspired go back
0;the service here leaves a lot to be desired;service leaves lot desired
1;the atmosphere is modern and hip while maintaining a touch of coziness;atmosphere modern hip maintaining touch coziness
1;not a weekly haunt but definitely a place to come back to every once in a while;weekly haunt definitely place come back every
0;we literally sat there for minutes with no one asking to take our order;literally sat minutes one asking take order
0;the burger had absolutely no flavor the meat itself was totally bland the burger was overcooked and there was no charcoal flavor;burger absolutely flavor meat totally bland burger overcooked charcoal flavor
0;i also decided not to send it back because our waitress looked like she was on the verge of having a heart attack;also decided send back waitress looked like verge heart attack
0;i dressed up to be treated so rudely;dressed treated rudely
0;it was probably dirt;probably dirt
1;love this place hits the spot when i want something healthy but not lacking in quantity or flavor;love place hits spot want something healthy lacking quantity flavor
1;i ordered the lemon raspberry ice cocktail which was also incredible;ordered lemon raspberry ice cocktail also incredible
0;the food sucked which we expected but it sucked more than we could have imagined;food sucked expected sucked could imagined
1;interesting decor;interesting decor
1;what i really like there is the crepe station;really like crepe station
1;also were served hot bread and butter and home made potato chips with bacon bits on top very original and very good;also served hot bread butter home made potato chips bacon bits top original good
1;you can watch them preparing the delicious food;watch preparing delicious food
1;both of the egg rolls were fantastic;egg rolls fantastic
0;when my order arrived one of the gyros was missing;order arrived one gyros missing
1;i had a salad with the wings and some ice cream for dessert and left feeling quite satisfied;salad wings ice cream dessert left feeling quite satisfied
0;i m not really sure how joey s was voted best hot dog in the valley by readers of phoenix magazine;really sure joey voted best hot dog valley readers phoenix magazine
1;the best place to go for a tasty bowl of pho;best place go tasty bowl pho
0;the live music on fridays totally blows;live music fridays totally blows
0;i ve never been more insulted or felt disrespected;never insulted felt disrespected
1;very friendly staff;friendly staff
1;it is worth the drive;worth drive
1;i had heard good things about this place but it exceeding every hope i could have dreamed of;heard good things place exceeding every hope could dreamed
1;food was great and so was the serivce;food great serivce
0;the warm beer didn t help;warm beer help
1;great brunch spot;great brunch spot
1;service is friendly and inviting;service friendly inviting
1;very good lunch spot;good lunch spot
0;i ve lived here since and this was the first and last time i ve stepped foot into this place;lived since first last time stepped foot place
0;the worst experience ever;worst experience ever
0;must have been an off night at this place;must night place
1;the sides are delish mixed mushrooms yukon gold puree white corn beateous;sides delish mixed mushrooms yukon gold puree white corn beateous
0;if that bug never showed up i would have given a for sure but on the other side of the wall where this bug was climbing was the kitchen;bug never showed would given sure side wall bug climbing kitchen
0;for about minutes we we re waiting for her salad when we realized that it wasn t coming any time soon;minutes waiting salad realized coming time soon
1;my friend loved the salmon tartar;friend loved salmon tartar
0;won t go back;go back
1;extremely tasty;extremely tasty
1;waitress was good though;waitress good though
0;soggy and not good;soggy good
1;the jamaican mojitos are delicious;jamaican mojitos delicious
0;which are small and not worth the price;small worth price
1;the food is rich so order accordingly;food rich order accordingly
0;the shower area is outside so you can only rinse not take a full shower unless you don t mind being nude for everyone to see;shower area outside rinse take full shower unless mind nude everyone see
0;the service was a bit lacking;service bit lacking
0;lobster bisque bussell sprouts risotto filet all needed salt and pepper and of course there is none at the tables;lobster bisque bussell sprouts risotto filet needed salt pepper course none tables
0;hopefully this bodes for them going out of business and someone who can cook can come in;hopefully bodes going business someone cook come
0;it was either too cold not enough flavor or just bad;either cold enough flavor bad
1;i loved the bacon wrapped dates;loved bacon wrapped dates
1;this is an unbelievable bargain;unbelievable bargain
1;the folks at otto always make us feel so welcome and special;folks otto always make us feel welcome special
0;as for the mains also uninspired;mains also uninspired
1;this is the place where i first had pho and it was amazing;place first pho amazing
1;this wonderful experience made this place a must stop whenever we are in town again;wonderful experience made place must stop whenever town
0;if the food isn t bad enough for you then enjoy dealing with the world s worst annoying drunk people;food bad enough enjoy dealing world worst annoying drunk people
1;very very fun chef;fun chef
0;ordered a double cheeseburger got a single patty that was falling apart picture uploaded yeah still sucks;ordered double cheeseburger got single patty falling apart picture uploaded yeah still sucks
1;great place to have a couple drinks and watch any and all sporting events as the walls are covered with tv s;great place couple drinks watch sporting events walls covered tv
0;if it were possible to give them zero stars they d have it;possible give zero stars
0;the descriptions said yum yum sauce and another said eel sauce yet another said spicy mayo well none of the rolls had sauces on them;descriptions said yum yum sauce another said eel sauce yet another said spicy mayo well none rolls sauces
1;i d say that would be the hardest decision honestly all of m s dishes taste how they are supposed to taste amazing;say would hardest decision honestly dishes taste supposed taste amazing
0;if she had not rolled the eyes we may have stayed not sure if we will go back and try it again;rolled eyes may stayed sure go back try
1;everyone is very attentive providing excellent customer service;everyone attentive providing excellent customer service
0;horrible don t waste your time and money;horrible waste time money
1;now this dish was quite flavourful;dish quite flavourful
0;by this time our side of the restaurant was almost empty so there was no excuse;time side restaurant almost empty excuse
0;it wasn t busy either also the building was freezing cold;busy either also building freezing cold
0;like the other reviewer said you couldn t pay me to eat at this place again;like reviewer said pay eat place
0;drinks took close to minutes to come out at one point;drinks took close minutes come one point
1;seriously flavorful delights folks;seriously flavorful delights folks
1;much better than the other ayce sushi place i went to in vegas;much better ayce sushi place went vegas
1;the lighting is just dark enough to set the mood;lighting dark enough set mood
0;based on the sub par service i received and no effort to show their gratitude for my business i won t be going back;based sub par service received effort show gratitude business going back
1;owner s are really great people;owner really great people
0;there is nothing privileged about working eating there;nothing privileged working eating
1;the greek dressing was very creamy and flavorful;greek dressing creamy flavorful
0;overall i don t think that i would take my parents to this place again because they made most of the similar complaints that i silently felt too;overall think would take parents place made similar complaints silently felt
1;now the pizza itself was good the peanut sauce was very tasty;pizza good peanut sauce tasty
1;we had at our table and the service was pretty fast;table service pretty fast
1;fantastic service here;fantastic service
0;i as well would ve given godfathers zero stars if possible;well would given godfathers zero stars possible
1;they know how to make them here;know make
0;very tough and very short on flavor;tough short flavor
1;i hope this place sticks around;hope place sticks around
0;i have been in more than a few bars in vegas and do not ever recall being charged for tap water;bars vegas ever recall charged tap water
1;the restaurant atmosphere was exquisite;restaurant atmosphere exquisite
1;good service very clean and inexpensive to boot;good service clean inexpensive boot
1;the seafood was fresh and generous in portion;seafood fresh generous portion
1;plus it s only bucks;plus bucks
0;the service was not up to par either;service par either
1;thus far have only visited twice and the food was absolutely delicious each time;thus far visited twice food absolutely delicious time
1;just as good as when i had it more than a year ago;good year ago
0;for a self proclaimed coffee cafe i was wildly disappointed;self proclaimed coffee cafe wildly disappointed
1;the veggitarian platter is out of this world;veggitarian platter world
1;you cant go wrong with any of the food here;cant go wrong food
1;you can t beat that;beat
1;stopped by this place while in madison for the ironman very friendly kind staff;stopped place madison ironman friendly kind staff
1;the chefs were friendly and did a good job;chefs friendly good job
0;i ve had better not only from dedicated boba tea spots but even from jenni pho;better dedicated boba tea spots even jenni pho
1;i liked the patio and the service was outstanding;liked patio service outstanding
1;the goat taco didn t skimp on the meat and wow what flavor;goat taco skimp meat wow flavor
0;i think not again;think
0;i had the mac salad and it was pretty bland so i will not be getting that again;mac salad pretty bland getting
1;i went to bachi burger on a friend s recommendation and was not disappointed;went bachi burger friend recommendation disappointed
0;service stinks here;service stinks
0;i waited and waited;waited waited
0;this place is not quality sushi it is not a quality restaurant;place quality sushi quality restaurant
1;i would definitely recommend the wings as well as the pizza;would definitely recommend wings well pizza
1;great pizza and salads;great pizza salads
0;things that went wrong they burned the saganaki;things went wrong burned saganaki
0;we waited an hour for what was a breakfast i could have done times better at home;waited hour breakfast could done times better home
1;this place is amazing;place amazing
0;i hate to disagree with my fellow yelpers but my husband and i were so disappointed with this place;hate disagree fellow yelpers husband disappointed place
0;waited hours never got either of our pizzas as many other around us who came in later did;waited hours never got either pizzas many around us came later
0;just don t know why they were so slow;know slow
1;the staff is great the food is delish and they have an incredible beer selection;staff great food delish incredible beer selection
0;i live in the neighborhood so i am disappointed i won t be back here because it is a convenient location;live neighborhood disappointed back convenient location
1;i didn t know pulled pork could be soooo delicious;know pulled pork could soooo delicious
1;you get incredibly fresh fish prepared with care;get incredibly fresh fish prepared care
0;before i go in to why i gave a star rating please know that this was my third time eating at bachi burger before writing a review;go gave star rating please know third time eating bachi burger writing review
1;i love the fact that everything on their menu is worth it;love fact everything menu worth
0;never again will i be dining at this place;never dining place
1;the food was excellent and service was very good;food excellent service good
1;good beer drink selection and good food selection;good beer drink selection good food selection
0;please stay away from the shrimp stir fried noodles;please stay away shrimp stir fried noodles
0;the potato chip order was sad i could probably count how many chips were in that box and it was probably around;potato chip order sad could probably count many chips box probably around
0;food was really boring;food really boring
1;good service check;good service check
0;this greedy corporation will never see another dime from me;greedy corporation never see another dime
0;will never ever go back;never ever go back
0;as much as i d like to go back i can t get passed the atrocious service and will never return;much like go back get passed atrocious service never return
1;in the summer you can dine in a charming outdoor patio so very delightful;summer dine charming outdoor patio delightful
1;i did not expect this to be so good;expect good
1;fantastic food;fantastic food
0;she ordered a toasted english muffin that came out untoasted;ordered toasted english muffin came untoasted
1;the food was very good;food good
0;never going back;never going back
1;great food for the price which is very high quality and house made;great food price high quality house made
0;the bus boy on the other hand was so rude;bus boy hand rude
0;by this point my friends and i had basically figured out this place was a joke and didn t mind making it publicly and loudly known;point friends basically figured place joke mind making publicly loudly known
1;back to good bbq lighter fare reasonable pricing and tell the public they are back to the old ways;back good bbq lighter fare reasonable pricing tell public back old ways
1;and considering the two of us left there very full and happy for about you just can t go wrong;considering two us left full happy go wrong
1;all the bread is made in house;bread made house
0;the only downside is the service;downside service
0;also the fries are without a doubt the worst fries i ve ever had;also fries without doubt worst fries ever
1;service was exceptional and food was a good as all the reviews;service exceptional food good reviews
1;a couple of months later i returned and had an amazing meal;couple months later returned amazing meal
1;favorite place in town for shawarrrrrrma;favorite place town shawarrrrrrma
1;the black eyed peas and sweet potatoes unreal;black eyed peas sweet potatoes unreal
1;you won t be disappointed;disappointed
1;they could serve it with just the vinaigrette and it may make for a better overall dish but it was still very good;could serve vinaigrette may make better overall dish still good
0;i go to far too many places and i ve never seen any restaurant that serves a egg breakfast especially for;go far many places never seen restaurant serves egg breakfast especially
0;when my mom and i got home she immediately got sick and she only had a few bites of salad;mom got home immediately got sick bites salad
0;the servers are not pleasant to deal with and they don t always honor pizza hut coupons;servers pleasant deal always honor pizza hut coupons
1;both of them were truly unbelievably good and i am so glad we went back;truly unbelievably good glad went back
1;we had fantastic service and were pleased by the atmosphere;fantastic service pleased atmosphere
0;everything was gross;everything gross
1;i love this place;love place
1;great service and food;great service food
0;first the bathrooms at this location were dirty seat covers were not replenished just plain yucky;first bathrooms location dirty seat covers replenished plain yucky
0;the burger i got the gold standard a burger and was kind of disappointed;burger got gold standard burger kind disappointed
1;omg the food was delicioso;omg food delicioso
0;there is nothing authentic about this place;nothing authentic place
0;the spaghetti is nothing special whatsoever;spaghetti nothing special whatsoever
1;of all the dishes the salmon was the best but all were great;dishes salmon best great
1;the vegetables are so fresh and the sauce feels like authentic thai;vegetables fresh sauce feels like authentic thai
1;it s worth driving up from tucson;worth driving tucson
0;the selection was probably the worst i ve seen in vegas there was none;selection probably worst seen vegas none
1;pretty good beer selection too;pretty good beer selection
1;this place is like chipotle but better;place like chipotle better
1;classy warm atmosphere fun and fresh appetizers succulent steaks baseball steak;classy warm atmosphere fun fresh appetizers succulent steaks baseball steak
1;stars for the brick oven bread app;stars brick oven bread app
1;i have eaten here multiple times and each time the food was delicious;eaten multiple times time food delicious
0;we sat another ten minutes and finally gave up and left;sat another ten minutes finally gave left
0;he was terrible;terrible
1;everyone is treated equally special;everyone treated equally special
0;it shouldn t take min for pancakes and eggs;take min pancakes eggs
1;it was delicious;delicious
1;on the good side the staff was genuinely pleasant and enthusiastic a real treat;good side staff genuinely pleasant enthusiastic real treat
0;sadly gordon ramsey s steak is a place we shall sharply avoid during our next trip to vegas;sadly gordon ramsey steak place shall sharply avoid next trip vegas
1;as always the evening was wonderful and the food delicious;always evening wonderful food delicious
1;best fish i ve ever had in my life;best fish ever life
1;the bathroom is just next door and very nice;bathroom next door nice
0;the buffet is small and all the food they offered was bland;buffet small food offered bland
1;this is an outstanding little restaurant with some of the best food i have ever tasted;outstanding little restaurant best food ever tasted
1;pretty cool i would say;pretty cool would say
0;definitely a turn off for me i doubt i ll be back unless someone else is buying;definitely turn doubt back unless someone else buying
1;server did a great job handling our large rowdy table;server great job handling large rowdy table
0;i find wasting food to be despicable but this just wasn t food;find wasting food despicable food
0;my wife had the lobster bisque soup which was lukewarm;wife lobster bisque soup lukewarm
1;would come back again if i had a sushi craving while in vegas;would come back sushi craving vegas
1;the staff are great the ambiance is great;staff great ambiance great
1;he deserves stars;deserves stars
0;i left with a stomach ache and felt sick the rest of the day;left stomach ache felt sick rest day
0;they dropped more than the ball;dropped ball
1;the dining space is tiny but elegantly decorated and comfortable;dining space tiny elegantly decorated comfortable
1;they will customize your order any way you d like my usual is eggplant with green bean stir fry love it;customize order way like usual eggplant green bean stir fry love
0;and the beans and rice were mediocre at best;beans rice mediocre best
1;best tacos in town by far;best tacos town far
0;i took back my money and got outta there;took back money got outta
1;in an interesting part of town this place is amazing;interesting part town place amazing
0;rude inconsiderate management;rude inconsiderate management
0;the staff are now not as friendly the wait times for being served are horrible no one even says hi for the first minutes;staff friendly wait times served horrible one even says hi first minutes
0;i won t be back;back
1;they have great dinners;great dinners
1;the service was outshining i definitely recommend the halibut;service outshining definitely recommend halibut
0;the food was terrible;food terrible
0;will never ever go back and have told many people what had happened;never ever go back told many people happened
0;i don t recommend unless your car breaks down in front of it and you are starving;recommend unless car breaks front starving
1;i will come back here every time i m in vegas;come back every time vegas
0;this place deserves one star and has to do with the food;place deserves one star food
0;this is a disgrace;disgrace
1;def coming back to bowl next time;def coming back bowl next time
1;if you want healthy authentic or ethic food try this place;want healthy authentic ethic food try place
1;i will continue to come here on ladies night andddd date night highly recommend this place to anyone who is in the area;continue come ladies night andddd date night highly recommend place anyone area
1;i have been here several times in the past and the experience has always been great;several times past experience always great
1;we walked away stuffed and happy about our first vegas buffet experience;walked away stuffed happy first vegas buffet experience
1;service was excellent and prices are pretty reasonable considering this is vegas and located inside the crystals shopping mall by aria;service excellent prices pretty reasonable considering vegas located inside crystals shopping mall aria
1;to summarize the food was incredible nay transcendant but nothing brings me joy quite like the memory of the pneumatic condiment dispenser;summarize food incredible nay transcendant nothing brings joy quite like memory pneumatic condiment dispenser
0;i m probably one of the few people to ever go to ians and not like it;probably one people ever go ians like
1;kids pizza is always a hit too with lots of great side dish options for the kiddos;kids pizza always hit lots great side dish options kiddos
1;service is perfect and the family atmosphere is nice to see;service perfect family atmosphere nice see
1;cooked to perfection and the service was impeccable;cooked perfection service impeccable
0;this one is simply a disappointment;one simply disappointment
0;overall i was very disappointed with the quality of food at bouchon;overall disappointed quality food bouchon
0;i don t have to be an accountant to know i m getting screwed;accountant know getting screwed
1;great place to eat reminds me of the little mom and pop shops in the san francisco bay area;great place eat reminds little mom pop shops san francisco bay area
1;today was my first taste of a buldogis gourmet hot dog and i have to tell you it was more than i ever thought possible;today first taste buldogis gourmet hot dog tell ever thought possible
0;left very frustrated;left frustrated
1;i ll definitely be in soon again;definitely soon
1;food was really good and i got full petty fast;food really good got full petty fast
1;service was fantastic;service fantastic
0;total waste of time;total waste time
1;i don t know what kind it is but they have the best iced tea;know kind best iced tea
1;come hungry leave happy and stuffed;come hungry leave happy stuffed
0;for service i give them no stars;service give stars
1;i can assure you that you won t be disappointed;assure disappointed
0;i can take a little bad service but the food sucks;take little bad service food sucks
0;gave up trying to eat any of the crust teeth still sore;gave trying eat crust teeth still sore
0;but now i was completely grossed out;completely grossed
1;i really enjoyed eating here;really enjoyed eating
1;first time going but i think i will quickly become a regular;first time going think quickly become regular
1;our server was very nice and even though he looked a little overwhelmed with all of our needs he stayed professional and friendly until the end;server nice even though looked little overwhelmed needs stayed professional friendly end
1;from what my dinner companions told me everything was very fresh with nice texture and taste;dinner companions told everything fresh nice texture taste
0;on the ground right next to our table was a large smeared been stepped in and tracked everywhere pile of green bird poop;ground right next table large smeared stepped tracked everywhere pile green bird poop
0;furthermore you can t even find hours of operation on the website;furthermore even find hours operation website
0;we ve tried to like this place but after times i think we re done with them;tried like place times think done
0;what a mistake that was;mistake
