index;Review;Liked;dataCleaning;hilangkan_kapital;Review_clean;Review_clean_V2
38;My first visit to Hiro was a delight!;1;My first visit to Hiro was a delight;my first visit to hiro was a delight;['first', 'visit', 'hiro', 'delight'];first visit hiro delight
39;Service sucks.;0;Service sucks;service sucks;['service', 'sucks'];service sucks
40;The shrimp tender and moist.;1;The shrimp tender and moist;the shrimp tender and moist;['shrimp', 'tender', 'moist'];shrimp tender moist
41;There is not a deal good enough that would drag me into that establishment again.;0;There is not a deal good enough that would drag me into that establishment again;there is not a deal good enough that would drag me into that establishment again;['deal', 'good', 'enough', 'would', 'drag', 'establishment'];deal good enough would drag establishment
42;Hard to judge whether these sides were good because we were grossed out by the melted styrofoam and didn't want to eat it for fear of getting sick.;0;Hard to judge whether these sides were good because we were grossed out by the melted styrofoam and didn t want to eat it for fear of getting sick;hard to judge whether these sides were good because we were grossed out by the melted styrofoam and didn t want to eat it for fear of getting sick;['hard', 'judge', 'whether', 'sides', 'good', 'grossed', 'melted', 'styrofoam', 'want', 'eat', 'fear', 'getting', 'sick'];hard judge whether sides good grossed melted styrofoam want eat fear getting sick
43;On a positive note, our server was very attentive and provided great service.;1;On a positive note our server was very attentive and provided great service;on a positive note our server was very attentive and provided great service;['positive', 'note', 'server', 'attentive', 'provided', 'great', 'service'];positive note server attentive provided great service
44;Frozen pucks of disgust, with some of the worst people behind the register.;0;Frozen pucks of disgust with some of the worst people behind the register;frozen pucks of disgust with some of the worst people behind the register;['frozen', 'pucks', 'disgust', 'worst', 'people', 'behind', 'register'];frozen pucks disgust worst people behind register
45;The only thing I did like was the prime rib and dessert section.;1;The only thing I did like was the prime rib and dessert section;the only thing i did like was the prime rib and dessert section;['thing', 'like', 'prime', 'rib', 'dessert', 'section'];thing like prime rib dessert section
46;It's too bad the food is so damn generic.;0;It s too bad the food is so damn generic;it s too bad the food is so damn generic;['bad', 'food', 'damn', 'generic'];bad food damn generic
47;The burger is good beef, cooked just right.;1;The burger is good beef cooked just right;the burger is good beef cooked just right;['burger', 'good', 'beef', 'cooked', 'right'];burger good beef cooked right
48;If you want a sandwich just go to any Firehouse!!!!!;1;If you want a sandwich just go to any Firehouse;if you want a sandwich just go to any firehouse;['want', 'sandwich', 'go', 'firehouse'];want sandwich go firehouse
49;My side Greek salad with the Greek dressing was so tasty, and the pita and hummus was very refreshing.;1;My side Greek salad with the Greek dressing was so tasty and the pita and hummus was very refreshing;my side greek salad with the greek dressing was so tasty and the pita and hummus was very refreshing;['side', 'greek', 'salad', 'greek', 'dressing', 'tasty', 'pita', 'hummus', 'refreshing'];side greek salad greek dressing tasty pita hummus refreshing
50;We ordered the duck rare and it was pink and tender on the inside with a nice char on the outside.;1;We ordered the duck rare and it was pink and tender on the inside with a nice char on the outside;we ordered the duck rare and it was pink and tender on the inside with a nice char on the outside;['ordered', 'duck', 'rare', 'pink', 'tender', 'inside', 'nice', 'char', 'outside'];ordered duck rare pink tender inside nice char outside
51;He came running after us when he realized my husband had left his sunglasses on the table.;1;He came running after us when he realized my husband had left his sunglasses on the table;he came running after us when he realized my husband had left his sunglasses on the table;['came', 'running', 'us', 'realized', 'husband', 'left', 'sunglasses', 'table'];came running us realized husband left sunglasses table
52;Their chow mein is so good!;1;Their chow mein is so good;their chow mein is so good;['chow', 'mein', 'good'];chow mein good
53;They have horrible attitudes towards customers, and talk down to each one when customers don't enjoy their food.;0;They have horrible attitudes towards customers and talk down to each one when customers don t enjoy their food;they have horrible attitudes towards customers and talk down to each one when customers don t enjoy their food;['horrible', 'attitudes', 'towards', 'customers', 'talk', 'one', 'customers', 'enjoy', 'food'];horrible attitudes towards customers talk one customers enjoy food
54;The portion was huge!;1;The portion was huge;the portion was huge;['portion', 'huge'];portion huge
55;Loved it...friendly servers, great food, wonderful and imaginative menu.;1;Loved it friendly servers great food wonderful and imaginative menu;loved it friendly servers great food wonderful and imaginative menu;['loved', 'friendly', 'servers', 'great', 'food', 'wonderful', 'imaginative', 'menu'];loved friendly servers great food wonderful imaginative menu
56;The Heart Attack Grill in downtown Vegas is an absolutely flat-lined excuse for a restaurant.;0;The Heart Attack Grill in downtown Vegas is an absolutely flat lined excuse for a restaurant;the heart attack grill in downtown vegas is an absolutely flat lined excuse for a restaurant;['heart', 'attack', 'grill', 'downtown', 'vegas', 'absolutely', 'flat', 'lined', 'excuse', 'restaurant'];heart attack grill downtown vegas absolutely flat lined excuse restaurant
57;Not much seafood and like 5 strings of pasta at the bottom.;0;Not much seafood and like strings of pasta at the bottom;not much seafood and like strings of pasta at the bottom;['much', 'seafood', 'like', 'strings', 'pasta', 'bottom'];much seafood like strings pasta bottom
58;The salad had just the right amount of sauce to not over power the scallop, which was perfectly cooked.;1;The salad had just the right amount of sauce to not over power the scallop which was perfectly cooked;the salad had just the right amount of sauce to not over power the scallop which was perfectly cooked;['salad', 'right', 'amount', 'sauce', 'power', 'scallop', 'perfectly', 'cooked'];salad right amount sauce power scallop perfectly cooked
59;The ripped banana was not only ripped, but petrified and tasteless.;0;The ripped banana was not only ripped but petrified and tasteless;the ripped banana was not only ripped but petrified and tasteless;['ripped', 'banana', 'ripped', 'petrified', 'tasteless'];ripped banana ripped petrified tasteless
60;At least think to refill my water before I struggle to wave you over for 10 minutes.;0;At least think to refill my water before I struggle to wave you over for minutes;at least think to refill my water before i struggle to wave you over for minutes;['least', 'think', 'refill', 'water', 'struggle', 'wave', 'minutes'];least think refill water struggle wave minutes
61;This place receives stars for their APPETIZERS!!!;1;This place receives stars for their APPETIZERS;this place receives stars for their appetizers;['place', 'receives', 'stars', 'appetizers'];place receives stars appetizers
62;The cocktails are all handmade and delicious.;1;The cocktails are all handmade and delicious;the cocktails are all handmade and delicious;['cocktails', 'handmade', 'delicious'];cocktails handmade delicious
63;We'd definitely go back here again.;1;We d definitely go back here again;we d definitely go back here again;['definitely', 'go', 'back'];definitely go back
64;We are so glad we found this place.;1;We are so glad we found this place;we are so glad we found this place;['glad', 'found', 'place'];glad found place
65;Great food and service, huge portions and they give a military discount.;1;Great food and service huge portions and they give a military discount;great food and service huge portions and they give a military discount;['great', 'food', 'service', 'huge', 'portions', 'give', 'military', 'discount'];great food service huge portions give military discount
66;Always a great time at Dos Gringos!;1;Always a great time at Dos Gringos;always a great time at dos gringos;['always', 'great', 'time', 'dos', 'gringos'];always great time dos gringos
67;Update.....went back for a second time and it was still just as amazing;1;Update went back for a second time and it was still just as amazing;update went back for a second time and it was still just as amazing;['update', 'went', 'back', 'second', 'time', 'still', 'amazing'];update went back second time still amazing
68;We got the food and apparently they have never heard of salt and the batter on the fish was chewy.;0;We got the food and apparently they have never heard of salt and the batter on the fish was chewy;we got the food and apparently they have never heard of salt and the batter on the fish was chewy;['got', 'food', 'apparently', 'never', 'heard', 'salt', 'batter', 'fish', 'chewy'];got food apparently never heard salt batter fish chewy
69;A great way to finish a great.;1;A great way to finish a great;a great way to finish a great;['great', 'way', 'finish', 'great'];great way finish great
70;The deal included 5 tastings and 2 drinks, and Jeff went above and beyond what we expected.;1;The deal included tastings and drinks and Jeff went above and beyond what we expected;the deal included tastings and drinks and jeff went above and beyond what we expected;['deal', 'included', 'tastings', 'drinks', 'jeff', 'went', 'beyond', 'expected'];deal included tastings drinks jeff went beyond expected
71;- Really, really good rice, all the time.;1;Really really good rice all the time;really really good rice all the time;['really', 'really', 'good', 'rice', 'time'];really really good rice time
72;The service was meh.;0;The service was meh;the service was meh;['service', 'meh'];service meh
73;It took over 30 min to get their milkshake, which was nothing more than chocolate milk.;0;It took over min to get their milkshake which was nothing more than chocolate milk;it took over min to get their milkshake which was nothing more than chocolate milk;['took', 'min', 'get', 'milkshake', 'nothing', 'chocolate', 'milk'];took min get milkshake nothing chocolate milk
74;I guess I should have known that this place would suck, because it is inside of the Excalibur, but I didn't use my common sense.;0;I guess I should have known that this place would suck because it is inside of the Excalibur but I didn t use my common sense;i guess i should have known that this place would suck because it is inside of the excalibur but i didn t use my common sense;['guess', 'known', 'place', 'would', 'suck', 'inside', 'excalibur', 'use', 'common', 'sense'];guess known place would suck inside excalibur use common sense
75;The scallop dish is quite appalling for value as well.;0;The scallop dish is quite appalling for value as well;the scallop dish is quite appalling for value as well;['scallop', 'dish', 'quite', 'appalling', 'value', 'well'];scallop dish quite appalling value well
76;2 times - Very Bad Customer Service !;0;times Very Bad Customer Service;times very bad customer service;['times', 'bad', 'customer', 'service'];times bad customer service
77;The sweet potato fries were very good and seasoned well.;1;The sweet potato fries were very good and seasoned well;the sweet potato fries were very good and seasoned well;['sweet', 'potato', 'fries', 'good', 'seasoned', 'well'];sweet potato fries good seasoned well
78;Today is the second time I've been to their lunch buffet and it was pretty good.;1;Today is the second time I ve been to their lunch buffet and it was pretty good;today is the second time i ve been to their lunch buffet and it was pretty good;['today', 'second', 'time', 'lunch', 'buffet', 'pretty', 'good'];today second time lunch buffet pretty good
79;There is so much good food in Vegas that I feel cheated for wasting an eating opportunity by going to Rice and Company.;0;There is so much good food in Vegas that I feel cheated for wasting an eating opportunity by going to Rice and Company;there is so much good food in vegas that i feel cheated for wasting an eating opportunity by going to rice and company;['much', 'good', 'food', 'vegas', 'feel', 'cheated', 'wasting', 'eating', 'opportunity', 'going', 'rice', 'company'];much good food vegas feel cheated wasting eating opportunity going rice company
80;Coming here is like experiencing an underwhelming relationship where both parties can't wait for the other person to ask to break up.;0;Coming here is like experiencing an underwhelming relationship where both parties can t wait for the other person to ask to break up;coming here is like experiencing an underwhelming relationship where both parties can t wait for the other person to ask to break up;['coming', 'like', 'experiencing', 'underwhelming', 'relationship', 'parties', 'wait', 'person', 'ask', 'break'];coming like experiencing underwhelming relationship parties wait person ask break
81;walked in and the place smelled like an old grease trap and only 2 others there eating.;0;walked in and the place smelled like an old grease trap and only others there eating;walked in and the place smelled like an old grease trap and only others there eating;['walked', 'place', 'smelled', 'like', 'old', 'grease', 'trap', 'others', 'eating'];walked place smelled like old grease trap others eating
82;The turkey and roast beef were bland.;0;The turkey and roast beef were bland;the turkey and roast beef were bland;['turkey', 'roast', 'beef', 'bland'];turkey roast beef bland
83;This place has it!;1;This place has it;this place has it;['place'];place
84;The pan cakes everyone are raving about taste like a sugary disaster tailored to the palate of a six year old.;0;The pan cakes everyone are raving about taste like a sugary disaster tailored to the palate of a six year old;the pan cakes everyone are raving about taste like a sugary disaster tailored to the palate of a six year old;['pan', 'cakes', 'everyone', 'raving', 'taste', 'like', 'sugary', 'disaster', 'tailored', 'palate', 'six', 'year', 'old'];pan cakes everyone raving taste like sugary disaster tailored palate six year old
85;I love the Pho and the spring rolls oh so yummy you have to try.;1;I love the Pho and the spring rolls oh so yummy you have to try;i love the pho and the spring rolls oh so yummy you have to try;['love', 'pho', 'spring', 'rolls', 'oh', 'yummy', 'try'];love pho spring rolls oh yummy try
86;The poor batter to meat ratio made the chicken tenders very unsatisfying.;0;The poor batter to meat ratio made the chicken tenders very unsatisfying;the poor batter to meat ratio made the chicken tenders very unsatisfying;['poor', 'batter', 'meat', 'ratio', 'made', 'chicken', 'tenders', 'unsatisfying'];poor batter meat ratio made chicken tenders unsatisfying
87;All I have to say is the food was amazing!!!;1;All I have to say is the food was amazing;all i have to say is the food was amazing;['say', 'food', 'amazing'];say food amazing
88;Omelets are to die for!;1;Omelets are to die for;omelets are to die for;['omelets', 'die'];omelets die
89;Everything was fresh and delicious!;1;Everything was fresh and delicious;everything was fresh and delicious;['everything', 'fresh', 'delicious'];everything fresh delicious
90;In summary, this was a largely disappointing dining experience.;0;In summary this was a largely disappointing dining experience;in summary this was a largely disappointing dining experience;['summary', 'largely', 'disappointing', 'dining', 'experience'];summary largely disappointing dining experience
91;It's like a really sexy party in your mouth, where you're outrageously flirting with the hottest person at the party.;1;It s like a really sexy party in your mouth where you re outrageously flirting with the hottest person at the party;it s like a really sexy party in your mouth where you re outrageously flirting with the hottest person at the party;['like', 'really', 'sexy', 'party', 'mouth', 'outrageously', 'flirting', 'hottest', 'person', 'party'];like really sexy party mouth outrageously flirting hottest person party
92;Never been to Hard Rock Casino before, WILL NEVER EVER STEP FORWARD IN IT AGAIN!;0;Never been to Hard Rock Casino before WILL NEVER EVER STEP FORWARD IN IT AGAIN;never been to hard rock casino before will never ever step forward in it again;['never', 'hard', 'rock', 'casino', 'never', 'ever', 'step', 'forward'];never hard rock casino never ever step forward
93;Best breakfast buffet!!!;1;Best breakfast buffet;best breakfast buffet;['best', 'breakfast', 'buffet'];best breakfast buffet
94;say bye bye to your tip lady!;0;say bye bye to your tip lady;say bye bye to your tip lady;['say', 'bye', 'bye', 'tip', 'lady'];say bye bye tip lady
95;We'll never go again.;0;We ll never go again;we ll never go again;['never', 'go'];never go
96;Will be back again!;1;Will be back again;will be back again;['back'];back
97;Food arrived quickly!;1;Food arrived quickly;food arrived quickly;['food', 'arrived', 'quickly'];food arrived quickly
98;It was not good.;0;It was not good;it was not good;['good'];good
99;On the up side, their cafe serves really good food.;1;On the up side their cafe serves really good food;on the up side their cafe serves really good food;['side', 'cafe', 'serves', 'really', 'good', 'food'];side cafe serves really good food
100;Our server was fantastic and when he found out the wife loves roasted garlic and bone marrow, he added extra to our meal and another marrow to go!;1;Our server was fantastic and when he found out the wife loves roasted garlic and bone marrow he added extra to our meal and another marrow to go;our server was fantastic and when he found out the wife loves roasted garlic and bone marrow he added extra to our meal and another marrow to go;['server', 'fantastic', 'found', 'wife', 'loves', 'roasted', 'garlic', 'bone', 'marrow', 'added', 'extra', 'meal', 'another', 'marrow', 'go'];server fantastic found wife loves roasted garlic bone marrow added extra meal another marrow go
101;The only good thing was our waiter, he was very helpful and kept the bloddy mary's coming.;1;The only good thing was our waiter he was very helpful and kept the bloddy mary s coming;the only good thing was our waiter he was very helpful and kept the bloddy mary s coming;['good', 'thing', 'waiter', 'helpful', 'kept', 'bloddy', 'mary', 'coming'];good thing waiter helpful kept bloddy mary coming
102;Best Buffet in town, for the price you cannot beat it.;1;Best Buffet in town for the price you cannot beat it;best buffet in town for the price you cannot beat it;['best', 'buffet', 'town', 'price', 'beat'];best buffet town price beat
103;I LOVED their mussels cooked in this wine reduction, the duck was tender, and their potato dishes were delicious.;1;I LOVED their mussels cooked in this wine reduction the duck was tender and their potato dishes were delicious;i loved their mussels cooked in this wine reduction the duck was tender and their potato dishes were delicious;['loved', 'mussels', 'cooked', 'wine', 'reduction', 'duck', 'tender', 'potato', 'dishes', 'delicious'];loved mussels cooked wine reduction duck tender potato dishes delicious
104;This is one of the better buffets that I have been to.;1;This is one of the better buffets that I have been to;this is one of the better buffets that i have been to;['one', 'better', 'buffets'];one better buffets
105;So we went to Tigerlilly and had a fantastic afternoon!;1;So we went to Tigerlilly and had a fantastic afternoon;so we went to tigerlilly and had a fantastic afternoon;['went', 'tigerlilly', 'fantastic', 'afternoon'];went tigerlilly fantastic afternoon
106;The food was delicious, our bartender was attentive and personable AND we got a great deal!;1;The food was delicious our bartender was attentive and personable AND we got a great deal;the food was delicious our bartender was attentive and personable and we got a great deal;['food', 'delicious', 'bartender', 'attentive', 'personable', 'got', 'great', 'deal'];food delicious bartender attentive personable got great deal
107;The ambience is wonderful and there is music playing.;1;The ambience is wonderful and there is music playing;the ambience is wonderful and there is music playing;['ambience', 'wonderful', 'music', 'playing'];ambience wonderful music playing
108;Will go back next trip out.;1;Will go back next trip out;will go back next trip out;['go', 'back', 'next', 'trip'];go back next trip
109;Sooooo good!!;1;Sooooo good;sooooo good;['sooooo', 'good'];sooooo good
110;REAL sushi lovers, let's be honest - Yama is not that good.;0;REAL sushi lovers let s be honest Yama is not that good;real sushi lovers let s be honest yama is not that good;['real', 'sushi', 'lovers', 'let', 'honest', 'yama', 'good'];real sushi lovers let honest yama good
111;At least 40min passed in between us ordering and the food arriving, and it wasn't that busy.;0;At least min passed in between us ordering and the food arriving and it wasn t that busy;at least min passed in between us ordering and the food arriving and it wasn t that busy;['least', 'min', 'passed', 'us', 'ordering', 'food', 'arriving', 'busy'];least min passed us ordering food arriving busy
112;This is a really fantastic Thai restaurant which is definitely worth a visit.;1;This is a really fantastic Thai restaurant which is definitely worth a visit;this is a really fantastic thai restaurant which is definitely worth a visit;['really', 'fantastic', 'thai', 'restaurant', 'definitely', 'worth', 'visit'];really fantastic thai restaurant definitely worth visit
113;Nice, spicy and tender.;1;Nice spicy and tender;nice spicy and tender;['nice', 'spicy', 'tender'];nice spicy tender
114;Good prices.;1;Good prices;good prices;['good', 'prices'];good prices
115;Check it out.;1;Check it out;check it out;['check'];check
116;It was pretty gross!;0;It was pretty gross;it was pretty gross;['pretty', 'gross'];pretty gross
117;I've had better atmosphere.;0;I ve had better atmosphere;i ve had better atmosphere;['better', 'atmosphere'];better atmosphere
118;Kind of hard to mess up a steak but they did.;0;Kind of hard to mess up a steak but they did;kind of hard to mess up a steak but they did;['kind', 'hard', 'mess', 'steak'];kind hard mess steak
119;Although I very much liked the look and sound of this place, the actual experience was a bit disappointing.;0;Although I very much liked the look and sound of this place the actual experience was a bit disappointing;although i very much liked the look and sound of this place the actual experience was a bit disappointing;['although', 'much', 'liked', 'look', 'sound', 'place', 'actual', 'experience', 'bit', 'disappointing'];although much liked look sound place actual experience bit disappointing
120;I just don't know how this place managed to served the blandest food I have ever eaten when they are preparing Indian cuisine.;0;I just don t know how this place managed to served the blandest food I have ever eaten when they are preparing Indian cuisine;i just don t know how this place managed to served the blandest food i have ever eaten when they are preparing indian cuisine;['know', 'place', 'managed', 'served', 'blandest', 'food', 'ever', 'eaten', 'preparing', 'indian', 'cuisine'];know place managed served blandest food ever eaten preparing indian cuisine
121;Worst service to boot, but that is the least of their worries.;0;Worst service to boot but that is the least of their worries;worst service to boot but that is the least of their worries;['worst', 'service', 'boot', 'least', 'worries'];worst service boot least worries
122;Service was fine and the waitress was friendly.;1;Service was fine and the waitress was friendly;service was fine and the waitress was friendly;['service', 'fine', 'waitress', 'friendly'];service fine waitress friendly
123;The guys all had steaks, and our steak loving son who has had steak at the best and worst places said it was the best steak he's ever eaten.;1;The guys all had steaks and our steak loving son who has had steak at the best and worst places said it was the best steak he s ever eaten;the guys all had steaks and our steak loving son who has had steak at the best and worst places said it was the best steak he s ever eaten;['guys', 'steaks', 'steak', 'loving', 'son', 'steak', 'best', 'worst', 'places', 'said', 'best', 'steak', 'ever', 'eaten'];guys steaks steak loving son steak best worst places said best steak ever eaten
124;We thought you'd have to venture further away to get good sushi, but this place really hit the spot that night.;1;We thought you d have to venture further away to get good sushi but this place really hit the spot that night;we thought you d have to venture further away to get good sushi but this place really hit the spot that night;['thought', 'venture', 'away', 'get', 'good', 'sushi', 'place', 'really', 'hit', 'spot', 'night'];thought venture away get good sushi place really hit spot night
125;Host staff were, for lack of a better word, BITCHES!;0;Host staff were for lack of a better word BITCHES;host staff were for lack of a better word bitches;['host', 'staff', 'lack', 'better', 'word', 'bitches'];host staff lack better word bitches
126;Bland... Not a liking this place for a number of reasons and I don't want to waste time on bad reviewing.. I'll leave it at that...;0;Bland Not a liking this place for a number of reasons and I don t want to waste time on bad reviewing I ll leave it at that;bland not a liking this place for a number of reasons and i don t want to waste time on bad reviewing i ll leave it at that;['bland', 'liking', 'place', 'number', 'reasons', 'want', 'waste', 'time', 'bad', 'reviewing', 'leave'];bland liking place number reasons want waste time bad reviewing leave
127;Phenomenal food, service and ambiance.;1;Phenomenal food service and ambiance;phenomenal food service and ambiance;['phenomenal', 'food', 'service', 'ambiance'];phenomenal food service ambiance
128;I wouldn't return.;0;I wouldn t return;i wouldn t return;['return'];return
129;Definitely worth venturing off the strip for the pork belly, will return next time I'm in Vegas.;1;Definitely worth venturing off the strip for the pork belly will return next time I m in Vegas;definitely worth venturing off the strip for the pork belly will return next time i m in vegas;['definitely', 'worth', 'venturing', 'strip', 'pork', 'belly', 'return', 'next', 'time', 'vegas'];definitely worth venturing strip pork belly return next time vegas
130;This place is way too overpriced for mediocre food.;0;This place is way too overpriced for mediocre food;this place is way too overpriced for mediocre food;['place', 'way', 'overpriced', 'mediocre', 'food'];place way overpriced mediocre food
131;Penne vodka excellent!;1;Penne vodka excellent;penne vodka excellent;['penne', 'vodka', 'excellent'];penne vodka excellent
132;They have a good selection of food including a massive meatloaf sandwich, a crispy chicken wrap, a delish tuna melt and some tasty burgers.;1;They have a good selection of food including a massive meatloaf sandwich a crispy chicken wrap a delish tuna melt and some tasty burgers;they have a good selection of food including a massive meatloaf sandwich a crispy chicken wrap a delish tuna melt and some tasty burgers;['good', 'selection', 'food', 'including', 'massive', 'meatloaf', 'sandwich', 'crispy', 'chicken', 'wrap', 'delish', 'tuna', 'melt', 'tasty', 'burgers'];good selection food including massive meatloaf sandwich crispy chicken wrap delish tuna melt tasty burgers
133;The management is rude.;0;The management is rude;the management is rude;['management', 'rude'];management rude
